"Census Division
State",,"Number of
Consumers","Average Monthly
Energetix,,,100,,,410,,,,,"7,242",,,5.66,,,,,,,,
"Energy Coop of New York, Inc",,,50,,,777,,,,,"15,625",,,4.97,,,,,,,,
NYSEG Solutions Inc,,,68,,,"22,536",,,,,"254,723",,,8.85,,,,,,,,
Select Energy,,,1,,,"5,113",,,,,"103,747",,,4.93,,,,,,,,
Select Energy New York Inc,,,35,,,"18,406",,,,,"374,233",,,4.92,,,,,,,,
State Total,,,"1,150",,,"98,305",,,,,"1,340,146",,,7.34,,,,,,,,
Ohio,,,,,,,,,,,,,,,,,,,,,,
Allegheny Energy Supply Co LLC,,,12,,,"2,278",,,,,"72,833",,,3.13,,,,,,,,
"Entergy-Koch Trading, Inc",,,1,,,"104,805",,,,,"4,165,777",,,2.52,,,,,,,,
"Exelon Energy, Inc",,,1,,,72,,,,,"1,769",,,4.07,,,,,,,,
FirstEnergy Solutions Corp,,,810,,,"53,322",,,,,"1,871,209",,,2.85,,,,,,,,
WPS Energy Services,,,25,,,"1,251",,,,,"41,981",,,2.98,,,,,,,,
State Total,,,849,,,"161,728",,,,,"6,153,569",,,2.63,,,,,,,,
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,
Allegheny Energy Supply Co LLC,,,92,,,"22,454",,,,,"884,380",,,2.54,,,,,,,,
Amerada Hess Corporation,,,24,,,376,,,,,"9,246",,,4.07,,,,,,,,
"American Coop Services, Inc",,,1,,,174,,,,,"4,256",,,4.09,,,,,,,,
Commonwealth Energy Corp,,,3,,,94,,,,,"1,903",,,4.94,,,,,,,,
"Exelon Energy, Inc",,,"3,875",,,"47,783",,,,,"1,255,308",,,3.81,,,,,,,,
FirstEnergy Solutions Corp,,,58,,,"1,662",,,,,"39,217",,,4.24,,,,,,,,
"Penn Power Energy, Inc",,,25,,,682,,,,,"21,661",,,3.15,,,,,,,,
"PEPCO Energy Service, Inc",,,5,,,"1,785",,,,,"44,070",,,4.05,,,,,,,,
PPL EnergyPlus LLC,,,"1,219",,,"116,137",,,,,"2,896,835",,,4.01,,,,,,,,
Select Energy,,,1,,,15,,,,,"2,335",,,0.64,,,,,,,,
Select Energy New York Inc,,,15,,,"1,005",,,,,"21,687",,,4.63,,,,,,,,
Strategic Energy LLC,,,"1,144",,,"8,879",,,,,"143,729",,,6.18,,,,,,,,
"UGI Energy Services, Inc",,,42,,,"3,530",,,,,"82,264",,,4.29,,,,,,,,
Utilimax.com. Inc,,,3,,,145,,,,,"4,400",,,3.30,,,,,,,,
State Total,,,"6,507",,,"204,721",,,,,"5,411,291",,,3.78,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,
TransCanada Power Mktg Ltd,,,79,,,"14,361",,,,,"216,829",,,6.62,,,,,,,,
State Total,,,79,,,"14,361",,,,,"216,829",,,6.62,,,,,,,,
Washington,,,,,,,,,,,,,,,,,,,,,,
Avista Energy Inc,,,125,,,"5,578",,,,,"56,150",,,9.93,,,,,,,,
"Cogentrix Energy Pwr Mktg, Inc",,,1,,,"14,251",,,,,"722,288",,,1.97,,,,,,,,
"Enron Power Marketing, Inc",,,3,,,"2,427",,,,,"39,570",,,6.13,,,,,,,,
"IDACORP Energy, LP",,,1,,,"50,030",,,,,"352,955",,,14.17,,,,,,,,
State Total,,,130,,,"72,286",,,,,"1,170,963",,,6.17,,,,,,,,
U.S.Total (Fifty States),,,"15,980",,,"1,984,230",,,,,"34,212,449",,,5.80,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
